time,min,mean,max,std,count
2080-02-29 00:00:00+00:00,300.15643,300.15643,300.15643,,1
2080-05-31 00:00:00+00:00,,,,,0
2080-08-31 00:00:00+00:00,,,,,0
2080-11-30 00:00:00+00:00,,,,,0
2081-02-28 00:00:00+00:00,300.19986,300.19986,300.19986,,1
2081-05-31 00:00:00+00:00,,,,,0
2081-08-31 00:00:00+00:00,,,,,0
2081-11-30 00:00:00+00:00,,,,,0
2082-02-28 00:00:00+00:00,301.04694,301.04694,301.04694,,1
2082-05-31 00:00:00+00:00,,,,,0
2082-08-31 00:00:00+00:00,,,,,0
2082-11-30 00:00:00+00:00,,,,,0
2083-02-28 00:00:00+00:00,299.84094,299.84094,299.84094,,1
2083-05-31 00:00:00+00:00,,,,,0
2083-08-31 00:00:00+00:00,,,,,0
2083-11-30 00:00:00+00:00,,,,,0
2084-02-29 00:00:00+00:00,299.19556,299.19556,299.19556,,1
2084-05-31 00:00:00+00:00,,,,,0
2084-08-31 00:00:00+00:00,,,,,0
2084-11-30 00:00:00+00:00,,,,,0
2085-02-28 00:00:00+00:00,301.96866,301.96866,301.96866,,1
2085-05-31 00:00:00+00:00,,,,,0
2085-08-31 00:00:00+00:00,,,,,0
2085-11-30 00:00:00+00:00,,,,,0
2086-02-28 00:00:00+00:00,300.29694,300.29694,300.29694,,1
2086-05-31 00:00:00+00:00,,,,,0
2086-08-31 00:00:00+00:00,,,,,0
2086-11-30 00:00:00+00:00,,,,,0
2087-02-28 00:00:00+00:00,299.73288,299.73288,299.73288,,1
2087-05-31 00:00:00+00:00,,,,,0
2087-08-31 00:00:00+00:00,,,,,0
2087-11-30 00:00:00+00:00,,,,,0
2088-02-29 00:00:00+00:00,300.41025,300.41025,300.41025,,1
2088-05-31 00:00:00+00:00,,,,,0
2088-08-31 00:00:00+00:00,,,,,0
2088-11-30 00:00:00+00:00,,,,,0
2089-02-28 00:00:00+00:00,300.6613,300.6613,300.6613,,1
2089-05-31 00:00:00+00:00,,,,,0
2089-08-31 00:00:00+00:00,,,,,0
2089-11-30 00:00:00+00:00,,,,,0
2090-02-28 00:00:00+00:00,299.58405,299.58405,299.58405,,1
2090-05-31 00:00:00+00:00,,,,,0
2090-08-31 00:00:00+00:00,,,,,0
2090-11-30 00:00:00+00:00,,,,,0
2091-02-28 00:00:00+00:00,302.58044,302.58044,302.58044,,1
2091-05-31 00:00:00+00:00,,,,,0
2091-08-31 00:00:00+00:00,,,,,0
2091-11-30 00:00:00+00:00,,,,,0
2092-02-29 00:00:00+00:00,300.3071,300.3071,300.3071,,1
2092-05-31 00:00:00+00:00,,,,,0
2092-08-31 00:00:00+00:00,,,,,0
2092-11-30 00:00:00+00:00,,,,,0
2093-02-28 00:00:00+00:00,300.06055,300.06055,300.06055,,1
2093-05-31 00:00:00+00:00,,,,,0
2093-08-31 00:00:00+00:00,,,,,0
2093-11-30 00:00:00+00:00,,,,,0
2094-02-28 00:00:00+00:00,300.86594,300.86594,300.86594,,1
2094-05-31 00:00:00+00:00,,,,,0
