the_geom,match_addr,x coordinate,y coordinate,category,layer
POINT (-118.453568 34.038497799999625),"1835 Stoner Ave, Los Angeles, CA 90025, USA",-118.453568,34.0384978,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.2439604 33.95605299999962),"8908 Maie Ave, Los Angeles, CA 90002, USA",-118.2439604,33.956053,LA County Cooling Center,coolingcenters
POINT (-118.41757310000001 34.03306259999964),"2950 Overland Ave, Los Angeles, CA 90064, USA",-118.4175731,34.0330626,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.0806726 33.903174699999646),"14040 San Antonio Dr, Norwalk, CA 90650, USA",-118.0806726,33.9031747,LA County Cooling Center,coolingcenters
POINT (-118.367152 34.14589079999966),"10844 Acama St, Studio City, CA 91602, USA",-118.367152,34.1458908,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.25663670000002 33.790642499999606),"1331 Eubank Ave, Wilmington, CA 90744, USA",-118.2566367,33.7906425,City of LA Recreation Center,la_city_recreation_centers
POINT (-117.8046593 34.10706689999963),"201 E Bonita Ave, San Dimas, CA 91773, USA",-117.8046593,34.1070669,LA County Cooling Center,coolingcenters
POINT (-118.2334926 34.11594949999965),"3650 Verdugo Rd, Los Angeles, CA 90065, USA",-118.2334926,34.1159495,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.2476661 34.00897049999964),"1501 E 41st St, Los Angeles, CA 90011, USA",-118.2476661,34.0089705,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.14180029999999 34.69817169999966),"665 W Lancaster Blvd, Lancaster, CA 93534, USA",-118.1418003,34.6981717,LA County Cooling Center,coolingcenters
POINT (-118.4577981 34.22996059999966),"8825 Kester Ave, Panorama City, CA 91402, USA",-118.4577981,34.2299606,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.5480087 34.21719819999963),"8120 Vanalden Ave, Reseda, CA 91335, USA",-118.5480087,34.2171982,City of LA Pool,la_city_year-round_pools
POINT (-118.15972370000001 34.03398729999964),"4837 E 3rd St, East Los Angeles, CA 90022, USA",-118.1597237,34.0339873,LA County Cooling Center,coolingcenters
POINT (-118.35034960000002 34.02182029999966),"5001 Obama Blvd, Los Angeles, CA 90016, USA",-118.3503496,34.0218203,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.27806419999999 34.060126399999625),"2230 W 6th St, Los Angeles, CA 90057, USA",-118.2780642,34.0601264,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.21963050000001 34.643142899999646),"5040 W Ave M 2, Quartz Hill, CA 93536, USA",-118.2196305,34.6431429,LA County Cooling Center,coolingcenters
POINT (-118.45905840000002 34.416476799999636),"18601 Soledad Canyon Rd, Santa Clarita, CA 91351, USA",-118.4590584,34.4164768,LA County Cooling Center,coolingcenters
POINT (-118.19742300000001 34.49502589999965),"33792 Crown Valley Rd, Acton, CA 93510, USA",-118.197423,34.4950259,LA County Cooling Center,coolingcenters
POINT (-118.01042040000002 33.90508869999963),"13810 La Mirada Blvd, La Mirada, CA 90638, USA",-118.0104204,33.9050887,LA County Cooling Center,coolingcenters
POINT (-118.28233059999998 33.976141599999636),"7020 S Figueroa St, Los Angeles, CA 90003, USA",-118.2823306,33.9761416,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.4153861 33.95950079999963),"7000 W Manchester Ave, Los Angeles, CA 90045, USA",-118.4153861,33.9595008,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.44311240000002 33.98288809999961),"4533 Admiralty Way, Marina Del Rey, CA 90292, USA",-118.4431124,33.9828881,LA County Cooling Center,coolingcenters
POINT (-118.2073396 34.13340339999965),"1840 Yosemite Dr, Los Angeles, CA 90041, USA",-118.2073396,34.1334034,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.09445910000001 34.04341549999962),"8051 Arroyo Dr, Rosemead, CA 91770, USA",-118.0944591,34.0434155,LA County Cooling Center,coolingcenters
POINT (-118.45433780000002 34.21510819999964),"14740 Blythe St, Panorama City, CA 91402, USA",-118.4543378,34.2151082,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.0346185 33.97291879999959),"7630 Washington Ave, Whittier, CA 90602, USA",-118.0346185,33.9729188,LA County Cooling Center,coolingcenters
POINT (-118.5311464 34.18717589999963),"18255 Victory Blvd, Reseda, CA 91335, USA",-118.5311464,34.1871759,LA County Cooling Center,coolingcenters
POINT (-118.5245752 34.04220109999962),"851 Alma Real Dr, Pacific Palisades, CA 90272, USA",-118.5245752,34.0422011,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.12150299999999 33.882448699999614),"9945 Flower St, Bellflower, CA 90706, USA",-118.121503,33.8824487,LA County Cooling Center,coolingcenters
POINT (-118.28947860000001 34.01225699999964),"3980 Bill Robertson Ln, Los Angeles, CA 90037, USA",-118.2894786,34.012257,City of LA Recreation Center,la_city_recreation_centers
POINT (-117.90540190000002 34.13481429999965),"729 N Dalton Ave, Azusa, CA 91702, USA",-117.9054019,34.1348143,LA County Cooling Center,coolingcenters
POINT (-118.1857188 33.94267489999964),"4855 Tweedy Blvd, South Gate, CA 90280, USA",-118.1857188,33.9426749,LA County Cooling Center,coolingcenters
POINT (-118.354284 33.897885099999634),"14717 Burin Ave, Lawndale, CA 90260, USA",-118.354284,33.8978851,LA County Cooling Center,coolingcenters
POINT (-118.3749644 34.24905849999964),"9901 Dronfield Ave, Sun Valley, CA 91352, USA",-118.3749644,34.2490585,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.4451057 34.19426509999964),"14301 Vanowen St, Van Nuys, CA 91405, USA",-118.4451057,34.1942651,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.3699532 33.97969319999962),"1201 La Tijera Blvd, Los Angeles, CA 90056, USA",-118.3699532,33.9796932,LA County Cooling Center,coolingcenters
POINT (-118.2327892 34.116956599999654),"3704 Verdugo Rd, Los Angeles, CA 90065, USA",-118.2327892,34.1169566,City of LA Pool,la_city_year-round_pools
POINT (-118.32957540000001 34.091832899999645),"1122 Cole Ave, Los Angeles, CA 90038, USA",-118.3295754,34.0918329,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.201538 34.06594589999965),"3501 Valley Blvd, Los Angeles, CA 90031, USA",-118.201538,34.0659459,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.4888308 34.07678449999965),"1000 Hanley Ave, Los Angeles, CA 90049, USA",-118.4888308,34.0767845,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.18179550000002 34.075857599999615),"4721 Klamath St, Los Angeles, CA 90032, USA",-118.1817955,34.0758576,City of LA Pool,la_city_year-round_pools
POINT (-118.38468149999999 34.04946709999963),"1641 Preuss Rd, Los Angeles, CA 90035, USA",-118.3846815,34.0494671,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.0676089 33.96434459999961),"11640 Slauson Ave, Whittier, CA 90606, USA",-118.0676089,33.9643446,LA County Cooling Center,coolingcenters
